City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,inirida,3.8653,-67.9239,23.49,97,57,0.45,CO,1686540294
279,puerto aysen,-45.4,-72.7,1.6,97,43,1.7,CL,1686539797
280,felahiye,39.0906,35.5672,12.41,82,99,0.31,TR,1686540295
281,kavieng,-2.5744,150.7967,29.44,72,67,6.28,PG,1686539878
282,aroma,15.8167,36.1333,28.77,56,44,5.14,SD,1686539878
283,ancud,-41.8697,-73.8203,6.49,82,32,2.62,CL,1686540295
284,lebu,-37.6167,-73.65,8.07,78,13,6.69,CL,1686539834
285,kolpashevo,58.3131,82.9089,15.39,61,100,4.7,RU,1686540296
286,colonia,50.9333,6.95,18.25,68,0,1.54,DE,1686540296
287,bom jesus dos perdoes,-23.135,-46.4653,14.92,75,4,1.35,BR,1686540296
288,cabedelo,-6.9811,-34.8339,23.37,88,35,3.74,BR,1686539809
289,umm al quwain city,25.5647,55.5552,32.18,52,72,2.76,AE,1686540297
290,shimoda,34.6667,138.95,22.28,98,100,2.3,JP,1686539958
291,dengzhou,37.8086,120.7508,20.73,62,79,3.46,CN,1686540297
292,kaa-khem,51.6833,94.7333,19.91,61,95,5.2,RU,1686539983
293,chibougamau,49.9168,-74.3659,13.79,88,0,1.03,CA,1686539762
294,tambopata,-12.7333,-69.1833,21.82,99,25,0.56,PE,1686539773
295,takoradi,4.8845,-1.7554,25.44,74,95,3.92,GH,1686540298
296,metahara,8.9,39.9167,23.38,63,98,3.66,ET,1686540298
297,brookings,44.3114,-96.7984,16.0,61,0,0.0,US,1686540298
298,san bernardo del viento,9.3533,-75.9524,27.99,83,29,3.91,CO,1686540298
299,qusmuryn,52.4503,64.6311,15.95,50,81,7.71,KZ,1686540298
300,yenotayevka,47.2456,47.0281,24.31,41,73,4.42,RU,1686540299
301,ishigaki,24.3448,124.1572,28.07,89,75,4.12,JP,1686540299
302,ilha de mocambique,-15.0342,40.7358,23.87,78,3,4.67,MZ,1686539832
303,tura,25.5198,90.2201,29.34,66,100,2.05,IN,1686540299
304,sitka,57.0531,-135.33,10.94,87,100,6.69,US,1686540300
305,kilindoni,-7.9139,39.6668,26.29,69,76,5.95,TZ,1686540300
306,brisas de zicatela,15.8369,-97.0419,30.29,70,20,1.03,MX,1686539735
307,urengoy,65.9667,78.3667,10.75,53,48,6.7,RU,1686539708
308,ta`u,-14.2336,-169.5144,27.58,80,17,7.29,AS,1686539723
309,mutuali,-14.8706,37.0044,14.28,87,0,0.73,MZ,1686540168
310,rongelap,11.1635,166.8941,27.85,80,90,7.99,MH,1686540301
311,luang namtha,20.9497,101.4011,29.01,79,75,3.09,LA,1686540157
312,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1686539721
313,chagoda,59.164,35.3285,10.48,57,15,0.29,RU,1686540301
314,ilulissat,69.2167,-51.1,8.01,66,100,5.14,GL,1686540301
315,meadow lakes,61.6247,-149.6011,15.5,55,100,3.6,US,1686539821
316,gouyave,12.1646,-61.7296,27.43,83,40,6.17,GD,1686540302
317,kollum,53.277,6.1529,17.99,69,78,3.67,NL,1686540302
318,sakakah,29.9697,40.2064,25.76,26,0,2.69,SA,1686540302
319,laayoune,27.1622,-13.2032,20.19,100,0,3.09,EH,1686540303
320,argo,37.6333,22.7333,17.66,80,1,1.43,GR,1686539776
321,kharp,66.8014,65.8081,3.4,68,100,7.33,RU,1686540303
322,zaragoza,41.6561,-0.8773,18.9,66,0,1.54,ES,1686540162
323,posto fiscal rolim de moura,-13.0833,-62.2667,23.32,88,13,0.98,BR,1686540303
324,san carlos,9.6612,-68.5827,24.38,91,98,1.1,VE,1686540304
325,san patricio,28.017,-97.5169,28.42,84,0,6.24,US,1686539722
326,allen,41.0706,-85.0144,16.06,92,100,4.12,US,1686539886
327,mirnyy,62.5353,113.9611,7.91,49,93,7.15,RU,1686539974
328,campeche,19.0,-90.5,29.15,63,17,1.79,MX,1686539716
329,howard springs,-12.497,131.047,30.95,34,9,3.43,AU,1686540130
330,higuera de zaragoza,25.95,-109.2833,26.96,47,3,1.99,MX,1686540305
331,quartu sant'elena,39.2419,9.1839,21.69,81,0,3.09,IT,1686540305
332,cadale,2.7603,46.3222,25.87,82,97,8.44,SO,1686540305
333,katsuura,35.1333,140.3,23.01,98,100,1.97,JP,1686540306
334,sechelt,49.4664,-123.7694,24.62,68,0,0.99,CA,1686540306
